Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,89200,ROSE Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,15.3581,2.2705,19
Drogerie Kosmetik Nonfood,89201,SALVIA Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,11.8752,1.7556,19
Drogerie Kosmetik Nonfood,89202,MELISSA Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,13.7388,2.0311,19
Drogerie Kosmetik Nonfood,89203,7-Herbs Vital Mask Face & Décolleté DEMETER,Martina Gebhardt,Bayern,Demeter (Deutschland),100ml,18.9567,2.8025,19
Drogerie Kosmetik Nonfood,89204,SHEABUTTER Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,13.2504,1.9589,19
Drogerie Kosmetik Nonfood,89207,PROPOLIS Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,12.852,1.9,19
Drogerie Kosmetik Nonfood,89208,GINSENG Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,16.0136,2.3674,19
Drogerie Kosmetik Nonfood,89209,ALOE VERA Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,21.8741,3.2338,19
Drogerie Kosmetik Nonfood,89210,HAPPY AGING Cream DEMETER - Kleingröße,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,8.3024,1.2274,19
Drogerie Kosmetik Nonfood,89213,NEROLI Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,23.7248,3.5074,19
Drogerie Kosmetik Nonfood,89220,Happy Aging Vital Mask DEMETER,Martina Gebhardt,Bayern,Demeter (Deutschland),50ml,22.3625,3.306,19
Drogerie Kosmetik Nonfood,89222,ROSE Balm DEMETER - vegan,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,8.0454,1.1894,19
