"ArtikelNr","Bezeichnung","Hersteller","Land","Qualitaet","Gebinde","PreisInklMwst","EntMwst","MwstSatz"
"695650","Dressing Sylter Art","Byodo","Diverse","100% Biozutaten","6x245ml","20.7315","1.2558","7"
"695651","Senf Dressing","Byodo","Deutschland","100% Biozutaten","6x245ml","20.7315","1.2558","7"
"695655","Bratöl Raps","Byodo","Italien","100% Biozutaten","6x750ml","36.6787","2.2218","7"
"695676","Atlantik-Meersalz fein - lose","Naturata","Portugal","nicht per Bio-VO geregelt","25kg","26.7175","1.6184","7"
"695677","Apfelessig DEMETER - Kanister","Beutelsbacher","Baden-Württemberg","Demeter (Deutschland)","10l","27.041","1.638","7"
"695683","Gemüsebrühe glutenfrei KONVENTIONELL - Eimer","Naturata","Diverse","konventionell","7kg","75.9114","4.5983","7"
"695693","Fruchtgarten Aprikose","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695695","Fruchtgarten Erdbeere","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695696","Fruchtgarten Heidelbeere","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695697","Fruchtgarten Himbeere","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695698","Fruchtgarten Sauerkirsche","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695699","Fruchtgarten Schwarze Johannisbeere","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695700","Fruchtgarten Waldbeere","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695702","Fruchtgarten Erdbeer-Rhabarber","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695703","Fruchtgarten Pfirsich-Maracuja","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695704","Fruchtgarten Pflaumenmus","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695711","Fruchtgarten Bitterorange","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695712","Fruchtgarten Hagebutte","Zwergenwiese","Diverse","98%","6x225g","16.71","1.0122","7"
"695714","Feiner Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","9.915","0.6006","7"
"695715","Kräuter-Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","9.915","0.6006","7"
"695716","Ganzkorn-Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","9.915","0.6006","7"
"695717","Scharfer Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","9.915","0.6006","7"
"695718","Mittelscharfer Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","8.459","0.5124","7"
"695718","Mittelscharfer Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","8.459","0.5124","7"
"695719","Wiking Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","8.459","0.5124","7"
"695719","Wiking Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","8.459","0.5124","7"
"695720","Süßer Senf","Zwergenwiese","Diverse","100% Biozutaten","6x160ml","9.8457","0.5964","7"
"695731","Kleiner Streich Arrabitom glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695732","Kleiner Streich Mepfel glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695734","Kleiner Streich Sendi glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695735","Kleiner Streich Papayango glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695736","Kleiner Streich Bruschesto glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695764","Pesto basilico - mit Pecorino in 100% Olivenöl","La Selva","Italien","100% Biozutaten","6x130g","16.5713","1.0038","7"
"695788","Steak und Pfeffer Sauce","Byodo","Diverse","100% Biozutaten","6x250ml","16.9873","1.029","7"
"695791","Polpa fine di Pomodoro - feinstückige Tomaten","La Selva","Italien","EG-Bio","12x690g","26.4864","1.6044","7"
"695792","Pesto al tartufo - Pesto mit Trüffeln","La Selva","Italien","100% Biozutaten","6x130g","16.5713","1.0038","7"
"695793","Passata di Pomodoro - passierte Tomaten","La Selva","Italien","EG-Bio","12x690g","26.4864","1.6044","7"
"695794","Pommes Sauce","Byodo","Diverse","100% Biozutaten","6x300ml","18.374","1.113","7"
"695796","Pesto basilico - mit Pecorino","La Selva","Italien","100% Biozutaten","6x130g","14.4912","0.8778","7"
"695803","Kala Namak Schwarzsalz","Govinda","Diverse","nicht per Bio-VO geregelt","6x150g","14.9766","0.9072","7"
"695804","Atlantik-Meersalz fein","Naturata","Portugal","nicht per Bio-VO geregelt","6x500g","9.5684","0.5796","7"
"695808","Kleiner Streich's drauf Basitom glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","10.2617","0.6216","7"
"695826","Zwemoulade im Glas","Zwergenwiese","Diverse","100% Biozutaten","6x230ml","13.2432","0.8022","7"
"695828","Zwergannaise im Glas","Zwergenwiese","Diverse","100% Biozutaten","6x230ml","13.2432","0.8022","7"
"695830","Zwergensauce glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x340ML","14.1445","0.8568","7"
"695831","Streich vier Pfeffer glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695832","Streich Aubergine glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4111","0.7518","7"
"695833","Streich Bärlauch glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695834","Streich Basilikum glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695835","Streich Brotzeit glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4111","0.7518","7"
"695836","Zwergen Streich glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695837","Streich Kräuter-Tomate glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695838","Streich Kürbis-Orange glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x180g","12.4805","0.756","7"
"695839","Kleiner Streich Vier Pfeffer glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","12x50g","9.8457","0.5964","7"
